cam_id,ip,type,lat,long,status
ACCC8EF7F35A,10.55.12.71,oerview_cam,18.801990,98.951321,available
ACCC8EF80719,10.55.12.72,oerview_cam,18.802090,98.951636,available
ACCC8EF8072A,10.55.12.73,oerview_cam,18.802226,98.951675,available
ACCC8EF80737,10.55.12.74,oerview_cam,18.802226,98.951675,available
ACCC8EF80740,10.55.12.75,oerview_cam,18.802176,98.951902,available
ACCC8EF80758,10.55.12.76,oerview_cam,18.801996,98.951952,available
ACCC8EF80759,10.55.12.77,oerview_cam,18.801996,98.951952,available
ACCC8EF7F37F,10.55.12.78,,18.8018681598954,98.95118826704463,available
ACCC8EF80753,10.55.12.81,oerview_cam,18.804766,98.947604,available
ACCC8EF807C8,10.55.12.82,oerview_cam,18.804766,98.947604,available
ACCC8EF807CC,10.55.12.83,oerview_cam,18.805382,98.947504,available
ACCC8EF80720,10.55.12.91,oerview_cam,18.803797,98.948850,available
ACCC8EF6A86E,10.55.12.92,OMNI,18.804261,98.948233,available
ACCC8EF6AEB1,10.55.12.93,OMNI,18.804253,98.947241,available
ACCC8EF804A3,10.55.12.101,oerview_cam,18.807258,98.947327,available
ACCC8EF8072E,10.55.12.102,oerview_cam,18.807258,98.947327,available
ACCC8EF807A9,10.55.12.111,oerview_cam,18.808596,98.949101,available
ACCC8EF6AB56,10.55.12.121,OMNI,18.808395,98.950551,available
ACCC8EF807F2,10.55.12.122,oerview_cam,18.808596,98.949101,available
ACCC8EF80436,10.55.12.131,oerview_cam,18.807247,98.948162,available
ACCC8EF8072B,10.55.12.132,oerview_cam,18.807247,98.948162,available
ACCC8EF8074C,10.55.12.133,oerview_cam,18.807321,98.948745,available
ACCC8EF80704,10.55.12.141,oerview_cam,18.808909,98.948297,available
ACCC8EF807A4,10.55.12.142,oerview_cam,18.808909,98.948297,available
,10.55.12.151,oerview_cam,18.80201107992589,98.95135758713926,available
,10.55.12.152,oerview_cam,18.80163364032462,98.95119394045841,available
,10.55.12.153,oerview_cam,18.801658703500458,98.95091026977012,available
,10.55.12.154,oerview_cam,18.801880432949474,98.95087525985772,available
,10.55.12.155,oerview_cam,18.80160296795487,98.95086172014025,available
ACCC8EF7F2D2,10.55.13.11,oerview_cam,18.803499,98.956951,available
ACCC8EF803D2,10.55.13.12,oerview_cam,18.803235,98.957227,available
ACCC8EF80723,10.55.13.21,oerview_cam,18.803331,98.956248,available
ACCC8EF807A8,10.55.13.23,oerview_cam,18.803509,98.956687,available
ACCC8EF807EB,10.55.13.24,oerview_cam,18.803468,98.956107,available
ACCC8EF808FF,10.55.13.25,oerview_cam,18.803128,98.956030,available
ACCC8EF80741,10.55.13.22,oerview_cam,18.804430034903508,98.95561141023907,available
044000075831010018,10.55.13.28,LPR_cam,,,available
B8A44F14EA31,10.55.13.27,LPR_cam,,,available
ACCC8EF80916,10.55.13.26,oerview_cam,18.802771,98.956004,available
B8A44F195198,10.55.13.29,oerview_cam,18.803592634623666,98.95595468060623,available
ACCC8EF809A5,10.55.13.31,oerview_cam,18.801534,98.95.6952,available
ACCC8EF7F2B9,10.55.13.32,oerview_cam,18.801413,98.957049,available
ACCC8EF80246,10.55.13.33,oerview_cam,18.801137,98.957064,available
ACCC8EF175E4,10.55.13.34,LPR_cam,18.801246,98.956681,available
ACCC8EF1763A,10.55.13.35,LPR_cam,18.801207,98.956577,available
ACCC8EF190D4,10.55.13.36,LPR_cam,18.801351,98.956682,available
ACCC8EF6ADF8,10.55.13.37,OMNI,18.801351,98.956682,available
B8A44F17DE40,10.55.13.161,oerview_cam,18.801085748007942,98.95719458028013,available
B8A44F1778D2,10.55.13.162,oerview_cam,18.801085748007942,98.95719458028013,available
B8A44F22E327,10.55.13.163,LPR_cam,,,available
B8A44F22E2EA,10.55.13.164,LPR_cam,,,available
B8A44F22E2DB,10.55.13.165,LPR_cam,,,available
,10.55.13.201,oerview_cam,,,available
404542075922010281,10.55.13.202,oerview_cam,,,available
044000075906010017,10.55.13.203,LPR_cam,,,available
044000075913010009,10.55.13.204,LPR_cam,,,available
ACCC8EF80980,10.55.13.41,oerview_cam,18.799067,98.957535,available
ACCC8EF6AE00,10.55.13.42,OMNI,18.798741,98.957563,available
B8A44F1951D8,10.55.13.43,oerview_cam,,,available
ACCC8EF37D69,10.55.13.51,LPR_cam,18.799579,98.955520,available
ACCC8EF37DF4,10.55.13.52,LPR_cam,18.799579,98.955520,available
ACCC8EF37E33,10.55.13.53,LPR_cam,18.799579,98.955520,available
ACCC8EF6AE3F,10.55.13.54,OMNI,18.799579,98.955520,available
ACCC8EF37E3A,10.55.13.55,LPR_cam,18.799590,98.955192,available
ACCC8EF6AEA6,10.55.13.61,OMNI,18.798784,98.958479,available
ACCC8EF802CB,10.55.13.62,oerview_cam,18.798446,98.958500,available
ACCC8EF802E3,10.55.13.63,oerview_cam,18.798474,98.958809,available
044000076020010013,10.55.13.64,LPR_cam,18.798474,98.958809,available
ACCC8EF803B0,10.55.13.71,oerview_cam,18.798924,98.960369,available
ACCC8EF8076D,10.55.13.72,oerview_cam,18.798544,98.959865,available
ACCC8EF807FA,10.55.13.73,oerview_cam,18.798514,98.959266,available
044000076011010004,10.55.13.74,LPR_cam,18.798544,98.959865,available
044000075913010017,10.55.13.75,LPR_cam,18.798514,98.959266,available
ACCC8EF80964,10.55.13.81,oerview_cam,18.797130,98.959240,available
ACCC8EF80991,10.55.13.82,oerview_cam,18.796918,98.959240,available
ACCC8EF80254,10.55.13.83,oerview_cam,18.796810,98.959371,available
